SIZE, TIME
5x5, 0.0000000000
6x6, 0.0000997543
7x7, 0.0001002312
8x8, 0.0000998259
9x9, 0.0001997471
10x10, 0.0001001120
11x11, 0.0001999617
12x12, 0.0002999783
13x13, 0.0002998829
14x14, 0.0003999949
15x15, 0.0004999638
16x16, 0.0008000135
17x17, 0.0009000778
18x18, 0.0008999825
19x19, 0.0010000229
20x20, 0.0011005163
21x21, 0.0012509346
22x22, 0.0014999390
23x23, 0.0021999836
24x24, 0.0024999857
25x25, 0.0026001930
26x26, 0.0025508404
27x27, 0.0029997587
28x28, 0.0032000542
29x29, 0.0034522295
30x30, 0.0039010048
31x31, 0.0044514179
32x32, 0.0050998688
33x33, 0.0050507307
34x34, 0.0058028698
35x35, 0.0056516409
36x36, 0.0064007521
37x37, 0.0072032213
38x38, 0.0076517105
39x39, 0.0084563017
40x40, 0.0097507238
41x41, 0.0095511913
42x42, 0.0095028639
43x43, 0.0110513449
44x44, 0.0119514465
45x45, 0.0120520115
46x46, 0.0130030155
47x47, 0.0144517183
48x48, 0.0146048069
49x49, 0.0160990953
50x50, 0.0168039560
51x51, 0.0173599243
52x52, 0.0219417095
53x53, 0.0202029705
54x54, 0.0211624861
55x55, 0.0233043194
56x56, 0.0234544516
57x57, 0.0259614944
58x58, 0.0277544498
59x59, 0.0276331902
60x60, 0.0304552078
61x61, 0.0311566830
62x62, 0.0311093807
63x63, 0.0335074663
64x64, 0.0331576109
65x65, 0.0378557205
66x66, 0.0411091089
67x67, 0.0427745581
68x68, 0.0446374893
69x69, 0.0446031570
70x70, 0.0478323460
71x71, 0.0544336557
72x72, 0.0475650549
73x73, 0.0533385038
74x74, 0.0571956396
75x75, 0.0565507650
76x76, 0.0584596872
77x77, 0.0604300261
78x78, 0.0626075745
79x79, 0.0675790548
80x80, 0.0678673506
81x81, 0.0685235262
82x82, 0.0742041111
83x83, 0.0773126602
84x84, 0.0786069870
85x85, 0.0806618214
86x86, 0.0849439383
87x87, 0.0878004551
88x88, 0.0878851414
89x89, 0.0905019522
90x90, 0.0955248356
91x91, 0.1013390303
92x92, 0.1090741158
93x93, 0.1047548056
94x94, 0.1063861609
95x95, 0.1160258055
96x96, 0.1167876244
97x97, 0.1241541386
98x98, 0.1239450455
99x99, 0.1310841560
100x100, 0.1307373524
101x101, 0.1334787369
102x102, 0.1415466070
103x103, 0.1417852402
104x104, 0.1446358204
105x105, 0.1458270311
106x106, 0.1533900261
107x107, 0.1583897591
108x108, 0.1657891989
109x109, 0.1686217070
110x110, 0.1731461763
111x111, 0.1780452967
112x112, 0.1806346416
113x113, 0.1978784084
114x114, 0.1954424858
115x115, 0.1984030724
116x116, 0.2066530704
117x117, 0.2073254824
118x118, 0.2125227451
119x119, 0.2284862518
120x120, 0.2193629742
121x121, 0.2259271622
122x122, 0.2331480026
123x123, 0.2372321367
124x124, 0.2452278614
125x125, 0.2503427267
126x126, 0.2636463881
127x127, 0.2727314234
128x128, 0.2818376780
129x129, 0.2838148355
130x130, 0.2956498623
